datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-08-22,25.0,20.0,aspen
2007-08-23,26.0,18.0,aspen
2007-08-24,38.0,22.0,aspen
2007-08-25,26.0,18.0,aspen
2007-08-26,29.0,23.0,aspen
2007-08-27,13.0,9.0,aspen
2007-08-28,28.0,23.0,aspen
2007-08-29,23.0,20.0,aspen
2007-08-30,23.0,17.0,aspen
2007-09-01,22.0,17.0,aspen
2007-09-02,24.0,16.0,aspen
2007-09-03,28.0,22.0,aspen
2007-09-04,23.0,20.0,aspen
2007-09-05,36.0,29.0,aspen
2007-09-06,26.0,17.0,aspen
2007-09-07,24.0,17.0,aspen
2007-09-08,23.0,15.0,aspen
2007-09-09,28.0,21.0,aspen
2007-09-10,25.0,17.0,aspen
2007-09-11,28.0,17.0,aspen
2007-09-12,21.0,15.0,aspen
2007-09-13,31.0,20.0,aspen
2007-09-14,29.0,22.0,aspen
2007-09-15,30.0,22.0,aspen
2007-09-16,36.0,29.0,aspen
2007-09-17,31.0,21.0,aspen
2007-09-18,23.0,16.0,aspen
2007-09-19,25.0,21.0,aspen
2007-09-20,,20.0,aspen
2007-09-21,22.0,15.0,aspen
2007-09-22,,,aspen
2007-09-23,,25.0,aspen
2007-09-24,25.0,18.0,aspen
2007-09-25,17.0,14.0,aspen
2007-09-26,18.0,14.0,aspen
2007-09-27,17.0,13.0,aspen
2007-09-28,33.0,24.0,aspen
2007-09-29,45.0,30.0,aspen
2007-10-01,43.0,29.0,aspen
2007-10-02,33.0,23.0,aspen
2007-10-03,18.0,13.0,aspen
2007-10-04,28.0,22.0,aspen
2007-10-05,41.0,30.0,aspen
2007-10-06,35.0,25.0,aspen
2007-10-07,23.0,18.0,aspen
2007-10-08,17.0,12.0,aspen
2007-10-09,15.0,12.0,aspen
2007-10-10,20.0,13.0,aspen
2007-10-11,21.0,13.0,aspen
2007-10-12,24.0,17.0,aspen
2007-10-13,24.0,16.0,aspen
2007-10-14,15.0,12.0,aspen
2007-10-15,17.0,13.0,aspen
2007-10-16,40.0,32.0,aspen
2007-10-17,32.0,22.0,aspen
2007-10-18,16.0,13.0,aspen
2007-10-19,17.0,15.0,aspen
2007-10-20,46.0,32.0,aspen
2007-10-21,25.0,18.0,aspen
2007-10-22,12.0,9.0,aspen
2007-10-23,13.0,9.0,aspen
2007-10-24,13.0,12.0,aspen
2007-10-25,15.0,12.0,aspen
2007-10-26,16.0,13.0,aspen
2007-10-27,18.0,14.0,aspen
2007-10-28,15.0,12.0,aspen
2007-10-29,16.0,12.0,aspen
2007-10-30,26.0,17.0,aspen
2007-11-01,18.0,13.0,aspen
2007-11-02,23.0,14.0,aspen
2007-11-03,16.0,13.0,aspen
2007-11-04,16.0,13.0,aspen
2007-11-05,20.0,14.0,aspen
2007-11-06,24.0,16.0,aspen
2007-11-07,18.0,14.0,aspen
2007-11-08,21.0,15.0,aspen
2007-11-09,13.0,10.0,aspen
2007-11-10,26.0,21.0,aspen
2007-11-11,24.0,17.0,aspen
2007-11-12,12.0,9.0,aspen
2007-11-13,22.0,16.0,aspen
2007-11-14,22.0,16.0,aspen
2007-11-15,15.0,12.0,aspen
2007-11-16,21.0,16.0,aspen
2007-11-17,26.0,20.0,aspen
2007-11-18,17.0,13.0,aspen
2007-11-19,21.0,15.0,aspen
2007-11-20,35.0,25.0,aspen
2007-11-21,23.0,16.0,aspen
2007-11-22,10.0,8.0,aspen
2007-11-23,15.0,10.0,aspen
2007-11-24,13.0,10.0,aspen
2007-11-25,15.0,12.0,aspen
2007-11-26,16.0,12.0,aspen
2007-11-27,35.0,26.0,aspen
2007-11-28,26.0,21.0,aspen
2007-11-29,14.0,13.0,aspen
2007-12-01,26.0,18.0,aspen
2007-12-02,26.0,18.0,aspen
2007-12-03,13.0,10.0,aspen
2007-12-04,12.0,10.0,aspen
2007-12-05,12.0,10.0,aspen
2007-12-06,13.0,9.0,aspen
2007-12-07,18.0,14.0,aspen
2007-12-08,15.0,12.0,aspen
2007-12-09,14.0,10.0,aspen
2007-12-10,13.0,10.0,aspen
2007-12-11,15.0,12.0,aspen
2007-12-12,14.0,12.0,aspen
2007-12-13,10.0,8.0,aspen
2007-12-14,14.0,12.0,aspen
2007-12-15,10.0,9.0,aspen
2007-12-16,14.0,10.0,aspen
2007-12-17,24.0,17.0,aspen
2007-12-18,13.0,10.0,aspen
2007-12-19,22.0,17.0,aspen
2007-12-20,12.0,10.0,aspen
2007-12-21,17.0,13.0,aspen
2007-12-22,13.0,10.0,aspen
2007-12-23,10.0,8.0,aspen
2007-12-24,18.0,14.0,aspen
2007-12-25,20.0,14.0,aspen
2007-12-26,17.0,14.0,aspen
2007-12-27,16.0,13.0,aspen
2007-12-28,14.0,10.0,aspen
2007-12-29,10.0,9.0,aspen
2007-12-30,45.0,30.0,aspen
2008-01-01,15.0,12.0,aspen
2008-01-02,10.0,9.0,aspen
2008-01-03,12.0,9.0,aspen
2008-01-04,12.0,8.0,aspen
2008-01-05,23.0,18.0,aspen
2008-01-06,25.0,20.0,aspen
2008-01-07,20.0,13.0,aspen
2008-01-08,12.0,10.0,aspen
2008-01-09,14.0,10.0,aspen
2008-01-10,10.0,8.0,aspen
2008-01-11,9.0,8.0,aspen
2008-01-12,15.0,10.0,aspen
2008-01-13,12.0,10.0,aspen
2008-01-14,10.0,9.0,aspen
2008-01-15,30.0,22.0,aspen
2008-01-16,13.0,8.0,aspen
2008-01-17,14.0,10.0,aspen
2008-01-18,10.0,9.0,aspen
2008-01-19,12.0,9.0,aspen
2008-01-20,17.0,13.0,aspen
2008-01-21,26.0,21.0,aspen
2008-01-22,15.0,10.0,aspen
2008-01-23,13.0,12.0,aspen
2008-01-24,12.0,10.0,aspen
2008-01-25,18.0,13.0,aspen
2008-01-26,14.0,12.0,aspen
